item,type,background,action,outcome,accidental,intentional
1,"Physical harm","You are about to leave your friend's house when the carbon monoxide detector sounds. You check the back of the detector to see what might be going on.","You take a look, turn off the detector, and leave the house.","The detector detects dangerous levels of carbon monoxide in your friend's house.","From the back of the detector, you thought the detector just needed new batteries.","From the back of the detector, you knew that the detector was working properly."
2,"Physical harm","You are house-sitting for a neighbor when pest control arrives. All people and pets must evacuate before fumigation begins, or else they will get very sick from the gases.","You leave and tell pest control they can begin fumigating.","The neighbor's dog is still in the house when the gases start getting pumped in.","From the sound of barking, you thought your neighbor's dog was safe in the backyard.","From the sound of barking, you knew your neighbor's dog was still inside the house."
3,"Physical harm","You are teaching a kids' fire safety class. In the class, kids learn how to deal with real smoke in case of a fire. You decide who should participate.","You decide everyone must participate and begin to teach the class.","A boy in the class has asthma and cannot participate without risk of an asthma attack.","From the health forms, you did not realize this boy has asthma.","From the health forms, you fully realized that this boy has asthma."
4,"Physical harm","You are a new employee at a sky diving company. A customer is looking to buy one of the store's parachutes. You consult with your manager first.","You sell the customer one of the parachutes. He plans to try it out tomorrow.","The chute failed in-house quality control and should have been tossed.","Based on what the manager said, you did not realize at all the chute was faulty.","Based on what the manager said, you definitely realized the chute was faulty."
5,"Physical harm","You are traveling with your cousin. Your cousin is hot and wants to go swimming in the pond ahead. You look up information on the pond in your travel guide.","You tell your cousin it's safe to go swimming. He eagerly jumps in.","The pond actually contains chemical pollution and is not safe for swimming.","Because of what the guide book said, you did not realize the pond was unsafe.","Because of what the guide book said, you realized the pond was unsafe."
6,"Physical harm","You are grocery shopping for your grandmother. Bagged spinach had recently been recalled for E. coli contamination, but some markets have begun carrying it again.","You buy spinach for your grandmother. You use it to make her a large salad.","The spinach is contaminated with E. coli and will make your grandmother very sick.","You had checked online and did not realize the spinach at your market was contaminated.","You had checked online, so you realized the spinach at your market was contaminated."
7,"Physical harm","Your classmate wants to borrow your bike to go mountain biking. Your bike's brakes had not been working properly. Your bike has just come back from the repair shop.","You lend your classmate your bike, and he leaves the next day for a bike trip.","The brakes are still not working, and the bike is unsafe to ride.","After talking to the folks at the repair shop, you thought the brakes were fully fixed.","After talking to the folks at the repair shop, you knew the brakes were still broken."
8,"Physical harm","You are at a Mexican restaurant. It is a slow day. There are no waiters nearby and only one other customer. This customer is sitting at the next table, and he starts coughing loudly.","You ignore the man's coughing and continue eating your meal.","He is actually choking on a piece of food and needs help.","Judging from the man's expression, you can't tell at all that he's choking on food.","Judging from the man's expression, you can absolutely tell he's choking on his food."
9,"Physical harm","You and a friend are in a two person kayak in the ocean. The sun is beating down on you, and it would be cool and refreshing to take a swim in the surrounding water.","You tell your friend to jump in for a swim while you man the boat.","There are lots of jellyfish in the water that deliver painful stings to swimmers.","You looked and did not see any jellyfish in the water at any point along your ride.","You looked and actually saw jellyfish in the water at many points along your ride."
10,"Physical harm","You and your friend are in the park roller-skating. You skate ahead and sit down behind a tree. You try to get comfortable, but there is a large stick in your way.","You toss the stick aside to make yourself comfortable, and it lands on the park path.","Your friend skates over the stick, and breaks his ankle.","You could not see that your friend was about to skate by, so you tossed the stick.","You saw that your friend was about to skate by, and you still tossed the stick."
