,model_path,timestamp,_runtime,cs_hard_set_acc,cs_test_set_acc,last_checkpoint_path,checkpoint_path,_step,model_size_mln,seq_train,sampling_method,only_on_ethics,only_on_lfb,bs_max,bs_std,steps
104,bert-base-cased,2023-09-29 13:26:17 GMT,1625.167465686798,0.5539613366127014,0.7173922657966614,artifacts/train_head_on_ethics_bert-base-cased.ckpt,,57,108,,AVG,True,False,0.31751659190719544,0.08114503265170846,57
141,bert-base-cased,2023-09-25 06:25:32 GMT,154.69078946113586,0.0,0.6060000061988831,,,19,108,,LAST,False,False,,,19
140,bert-base-cased,2023-09-25 06:30:54 GMT,199.76384830474856,0.0,0.5929999947547913,,,27,108,,LAST,False,False,,,27
139,bert-base-cased,2023-09-25 07:23:04 GMT,180.44248795509336,0.5046797394752502,0.6491926312446594,,,20,108,,LAST,False,False,,,20
138,bert-base-cased,2023-09-25 07:28:54 GMT,144.43823981285095,0.5168223977088928,0.5325327515602112,,,15,108,,LAST,False,False,,,15
137,bert-base-cased,2023-09-25 08:18:35 GMT,132.76133966445923,0.49983611702919006,0.49791303277015686,,,20,108,,LAST,False,True,,,20
126,bert-base-cased,2023-09-28 11:20:15 GMT,627.6940457820892,0.5205366015434265,0.5473920702934265,,,25,108,,LAST,False,False,,,25
142,bert-base-cased,2023-09-25 06:22:03 GMT,222.38172507286072,0.0,0.6800000071525574,,,32,108,,LAST,False,False,,,32
117,bert-base-cased,2023-09-28 15:50:57 GMT,148.3109631538391,0.529077410697937,0.612122654914856,,,5,108,,LAST,False,False,,,5
103,bert-base-cased,2023-09-29 13:47:51 GMT,1265.169862985611,0.5554250478744507,0.736579418182373,,artifacts/train_head_on_ethics_bert-base-cased.ckpt,47,108,commonsense then LFB,AVG,False,False,0.31824581247162054,0.08747265688461157,47
102,bert-base-cased,2023-09-29 14:17:59 GMT,1787.7064092159271,0.5,0.5149999856948853,,,57,108,,LAST,True,False,0.365442162252031,0.033728847641094656,57
101,bert-base-cased,2023-09-29 14:41:28 GMT,1384.9263854026794,0.4944084584712982,0.5057781338691711,,,47,108,,LAST,False,True,0.3318781509305676,0.07793976604109676,47
